Name,Disabled,FileName,ExportName,Character,Skin,IsPicto,BattleCategory,Rarity,EmoteType,LockedForChronos,BundleCode,IsDefaultBattleEmote
string,boolean,string,string,string,string,boolean,int,int,int,boolean,int,boolean
emoji_8bit,,sc/characters.sc,emoji_8bit,Arcade,,TRUE,0,0,0,,,
emoji_8bit_angry,,sc/characters.sc,emoji_8bit_angry,Arcade,,,3,0,3,,,
emoji_8bit_gg,,sc/characters.sc,emoji_8bit_gg,Arcade,,,4,1,5,,,
emoji_8bit_sad,,sc/characters.sc,emoji_8bit_sad,Arcade,,,2,0,2,,,
emoji_8bit_thanks,,sc/characters.sc,emoji_8bit_thanks,Arcade,,,4,2,4,,,
emoji_angry,,sc/characters.sc,emoji_angry,,,,3,0,3,,,
emoji_annoyed,,sc/characters.sc,emoji_annoyed,,,,3,0,0,,,
emoji_barley,,sc/characters.sc,emoji_barley,Barkeep,,TRUE,0,0,0,,,
emoji_barley_angry,,sc/characters.sc,emoji_barley_angry,Barkeep,,,3,0,3,,,
emoji_barley_gg,,sc/characters.sc,emoji_barley_gg,Barkeep,,,4,1,5,,,
emoji_barley_sad,,sc/characters.sc,emoji_barley_sad,Barkeep,,,2,0,2,,,
emoji_barley_thanks,,sc/characters.sc,emoji_barley_thanks,Barkeep,,,4,2,4,,,
emoji_bea,,sc/characters.sc,emoji_bea,BeeSniper,,TRUE,0,0,0,,,
emoji_bea_angry,,sc/characters.sc,emoji_bea_angry,BeeSniper,,,3,0,3,,,
emoji_bea_gg,,sc/characters.sc,emoji_bea_gg,BeeSniper,,,4,1,5,,,
emoji_bea_sad,,sc/characters.sc,emoji_bea_sad,BeeSniper,,,2,0,2,,,
emoji_bea_thanks,,sc/characters.sc,emoji_bea_thanks,BeeSniper,,,4,2,4,,,
emoji_bibi,,sc/characters.sc,emoji_bibi,Baseball,,TRUE,0,0,0,,,
emoji_bibi_angry,,sc/characters.sc,emoji_bibi_angry,Baseball,,,3,0,3,,,
emoji_bibi_gg,,sc/characters.sc,emoji_bibi_gg,Baseball,,,4,1,5,,,
emoji_bibi_sad,,sc/characters.sc,emoji_bibi_sad,Baseball,,,2,0,2,,,
emoji_bibi_thanks,,sc/characters.sc,emoji_bibi_thanks,Baseball,,,4,2,4,,,
emoji_blank,,sc/characters.sc,emoji_blank,,,,4,,0,,,
emoji_bo,,sc/characters.sc,emoji_bo,BowDude,,TRUE,0,0,0,,,
emoji_bo_angry,,sc/characters.sc,emoji_bo_angry,BowDude,,,3,0,3,,,
emoji_bo_gg,,sc/characters.sc,emoji_bo_gg,BowDude,,,4,1,5,,,
emoji_bo_sad,,sc/characters.sc,emoji_bo_sad,BowDude,,,2,0,2,,,
emoji_bo_thanks,,sc/characters.sc,emoji_bo_thanks,BowDude,,,4,2,4,,,
emoji_bothered,,sc/characters.sc,emoji_bothered,,,,4,,0,,,
emoji_brock,,sc/characters.sc,emoji_brock,RocketGirl,,TRUE,0,0,0,,,
emoji_brock_angry,,sc/characters.sc,emoji_brock_angry,RocketGirl,,,3,0,3,,,
emoji_brock_gg,,sc/characters.sc,emoji_brock_gg,RocketGirl,,,4,1,5,,,
emoji_brock_sad,,sc/characters.sc,emoji_brock_sad,RocketGirl,,,2,0,2,,,
emoji_brock_thanks,,sc/characters.sc,emoji_brock_thanks,RocketGirl,,,4,2,4,,,
emoji_bull,,sc/characters.sc,emoji_bull,BullDude,,TRUE,0,0,0,,,
emoji_bull_angry,,sc/characters.sc,emoji_bull_angry,BullDude,,,3,0,3,,,
emoji_bull_gg,,sc/characters.sc,emoji_bull_gg,BullDude,,,4,1,5,,,
